batch_id,timestamp,granulation_time,binder_amount,drying_temp,drying_time,compression_force,machine_speed,energy_consumption,yield_pct,quality_pct,performance_score
BATCH_1000,2026-03-23 22:13:30,44.97,8.8,53.25,36.84,15.68,35.76,148.73,80.59,72.01,60.33
BATCH_1001,2026-03-24 02:13:30,38.62,7.85,58.55,57.79,19.84,35.47,235.35,95.05,89.06,69.99
BATCH_1002,2026-03-24 06:13:30,46.48,6.12,52.08,66.73,20.09,22.04,218.28,98.09,86.23,70.66
BATCH_1003,2026-03-24 10:13:30,55.23,4.71,56.92,112.75,22.36,36.7,405.95,96.03,74.33,58.7
BATCH_1004,2026-03-24 14:13:30,37.66,7.4,41.06,86.13,13.17,47.33,242.31,80.97,72.85,57.64
BATCH_1005,2026-03-24 18:13:30,37.66,6.79,62.13,48.29,22.96,27.26,231.48,95.37,82.39,67.59
BATCH_1006,2026-03-24 22:13:30,55.79,7.79,60.01,84.72,6.48,50.48,303.46,73.52,94.89,61.4
BATCH_1007,2026-03-25 02:13:30,47.67,7.27,51.83,44.05,16.85,44.88,174.71,91.26,75.25,65.02
BATCH_1008,2026-03-25 06:13:30,35.31,8.1,66.59,96.65,17.56,32.66,402.45,87.68,75.09,55.78
BATCH_1009,2026-03-25 10:13:30,45.43,4.93,69.38,65.58,23.17,38.58,309.14,94.66,82.2,64.59
BATCH_1010,2026-03-25 14:13:30,35.37,8.63,43.92,73.13,20.11,55.98,267.49,90.98,77.55,62.67
BATCH_1011,2026-03-25 18:13:30,35.34,6.4,52.37,101.52,12.97,47.34,339.33,85.44,74.31,56.72
BATCH_1012,2026-03-25 22:13:30,42.42,10.15,52.31,49.26,15.08,40.09,201.38,84.0,79.74,63.0
BATCH_1013,2026-03-26 02:13:30,20.87,4.62,50.6,47.06,20.99,37.62,209.09,93.65,70.25,62.8
BATCH_1014,2026-03-26 06:13:30,22.75,9.47,68.29,63.33,19.6,40.77,298.75,90.59,88.23,65.72
BATCH_1015,2026-03-26 10:13:30,34.38,6.4,58.06,95.77,17.1,34.88,330.02,89.59,87.83,64.1
BATCH_1016,2026-03-26 14:13:30,29.87,4.7,57.35,44.61,17.6,18.95,202.23,86.08,81.55,64.53
BATCH_1017,2026-03-26 18:13:30,43.14,5.03,39.96,20.0,23.48,60.42,285.49,99.9,50.0,54.61
BATCH_1018,2026-03-26 22:13:30,30.92,5.36,66.35,65.98,17.41,41.55,644.52,90.26,86.43,53.12
BATCH_1019,2026-03-27 02:13:30,25.88,6.85,47.61,86.03,19.56,43.98,301.01,95.21,78.95,63.78
BATCH_1020,2026-03-27 06:13:30,54.66,7.05,60.6,99.01,30.85,39.42,428.34,80.12,86.3,56.36
BATCH_1021,2026-03-27 10:13:30,37.74,4.85,62.77,65.74,12.88,32.65,264.83,83.27,93.0,65.86
BATCH_1022,2026-03-27 14:13:30,40.68,5.95,73.61,66.77,10.74,38.14,336.23,78.53,81.55,56.96
